"254" "Königin-Luise-Str. 49" "Steglitz-Zehlendorf"
"255" "Königin-Luise-Str. 49" "Steglitz-Zehlendorf"
"256" "Clauertstr. 11" "Steglitz-Zehlendorf"
"257" "Bäke" "Steglitz-Zehlendorf"
"258" "Clauertstr. 11" "Steglitz-Zehlendorf"
"259" "Rathaus Zehlendorf" "Steglitz-Zehlendorf"
"260" "Steglitz-Zehlendorf"
"261" "Königin-Luise-Str. 49" "Steglitz-Zehlendorf"
"262" "Clauertstr. 11" "Steglitz-Zehlendorf"
"263" "Königin-Luise-Str. 49" "Steglitz-Zehlendorf"
"264" "Königin-Luise-Str. 49" "Steglitz-Zehlendorf"
"265" "S Mexikoplatz" "Steglitz-Zehlendorf"
"266" "Königin-Luise-Str. 49" "Steglitz-Zehlendorf"
"267" "Königin-Luise-Str. 49" "Steglitz-Zehlendorf"
"268" "Stolzenhagen"
"269" "Burg Storkow" "Storkow"
"270" "Röthepfuhl" "Teltow"
"271" "Berliner Mauerweg" "Teltow"
"272" "Marktplatz" "Teltow"
"273" "Teltow"
"274" "Mattausch-Park" "Teltow"
"275" "Teltow"
"276" "Teltow"
"277" "Marktplatz" "Teltow"
"278" "Röthepfuhl" "Teltow"
"279" "Rheinstraße" "Teltow"
"280" "Ruhlsdorf" "Teltow"
"281" "Hauptstraße" "Tempelhof-Schöneberg"
"282" "Kärntener Straße" "Tempelhof-Schöneberg"
"283" "Walther-Schreiber-Platz" "Tempelhof-Schöneberg"
"284" "Rudolph-Wilde-Park" "Tempelhof-Schöneberg"
"285" "Alt-Lichtenrade" "Tempelhof-Schöneberg"
"286" "Akazienstraße" "Tempelhof-Schöneberg"
"287" "Crellestraße" "Tempelhof-Schöneberg"
"288" "Motzstraße" "Tempelhof-Schöneberg"
"289" "Tempelhof-Schöneberg"
"290" "Alt-Marienfelde 36" "Tempelhof-Schöneberg"
"291" "Volkspark Mariendorf" "Tempelhof-Schöneberg"
"292" "Walther-Schreiber-Platz" "Tempelhof-Schöneberg"
"293" "Bessemerstr. 2-14" "Tempelhof-Schöneberg"
"294" "Alt-Lichtenrade" "Tempelhof-Schöneberg"
"295" "Hauptstraße" "Tempelhof-Schöneberg"
"296" "Akazienstraße" "Tempelhof-Schöneberg"
"297" "Wittenbergplatz" "Tempelhof-Schöneberg"
